FI ,,,,,,,,,,,
SL NO,Block,CLF Name,Name of Intervention ,Amount of CIF Fund,Amount of VRF Fund,Amount of Start up Fund,No of SHG recieved Bank Loan,No of SHG members with PMJJY,No of SHG members with PMSBY,No of SHG members with  MHIS,No of BC at the CLF
1,Mawshynrut,JINGKIENG BASKHEM CLF NONGJRI CIRCLE,Saksham Centre,,,200000,45,No Data,No Data,No Data,2
2,Mawshynrut,KURANGSAL CLF WOMEN MULTI PURPOSE COOPERATIVE SOCIETY,Saksham Centre,1350000,,350000,44,No Data,No Data,No Data,1
3,Mawshynrut,MAWJAM CLF PORLA,Saksham Centre,3570000,,350000,1,No Data,No Data,No Data,0
4,Mawshynrut,NONGTREI ASOR CLF,Saksham Centre,,,200000,39,No Data,No Data,No Data,0
5,Mawshynrut,NONGTREI IONG BI CLUSTER LEVEL FEDERATION UMSOHPIENG,Saksham Centre,600000,,350000,45,No Data,No Data,No Data,2
6,Mawshynrut,RYMPEI BAIAR CLUSTER LEVEL FEDERATION CLF,Saksham Centre,18590000,,350000,116,No Data,No Data,No Data,3
7,Mawshynrut,SAINDUR IA KA LAWEI CLF MULTIPURPOSE COOPERATIVE SOCIETY LTD,Saksham Centre,5610000,,350000,30,No Data,No Data,No Data,1
8,Nongstoin,15 SHNONG CLUSTER LEVEL FEDERATION,Saksham Centre,5910000,,350000,72,No Data,No Data,No Data,3
9,Nongstoin,DAKA BANTEI CLF,Saksham Centre,110000,,200000,33,No Data,No Data,No Data,4
10,Nongstoin,IAIKYRSOI CLF,Saksham Centre,,,350000,62,No Data,No Data,No Data,2
11,Nongstoin,IAINEHSKHEM CLF,Saksham Centre,,,350000,24,No Data,No Data,No Data,1
12,Nongstoin,KHATWEI CLF PYNDENGREI,Saksham Centre,6250000,,350000,48,No Data,No Data,No Data,2
13,Nongstoin,KHAW KYLLA CLF MAWEIT,Saksham Centre,,,350000,27,No Data,No Data,No Data,2
14,Nongstoin,KYNHUN SAINDUR CLF MAWIAWET,Saksham Centre,8390000,,200000,41,No Data,No Data,No Data,1
15,Nongstoin,KYRSHAN IA KA LAWEI CLF,Saksham Centre,,,,65,No Data,No Data,No Data,3
16,Nongstoin,KYRSIEW CLF RISIANG,Saksham Centre,4020000,,350000,25,No Data,No Data,No Data,0
17,Nongstoin,MAWJAMBASKHEM CLF,Saksham Centre,7670000,,350000,67,No Data,No Data,No Data,2
18,Nongstoin,SHAT JINSHAICLF LAITKSEH CLUSTER,Saksham Centre,,,200000,79,No Data,No Data,No Data,2
19,Nongstoin,THWEIBIAR CLF NONGSTOIN,Saksham Centre,11550000,,350000,131,No Data,No Data,No Data,4
20,Nongstoin,WANLAM JONGCHAI CLF WAHLYNGDOH,Saksham Centre,,,350000,5,No Data,No Data,No Data,1
21,Rambrai,IATREILANG CLF MAWTHIR,Saksham Centre,2250000,,350000,15,No Data,No Data,No Data,2
22,Rambrai,KHADHYNNIEW SHNONG CLUSTER LEVEL FEDERATION,Saksham Centre,10040000,,350000,50,No Data,No Data,No Data,1
23,Rambrai,SANDAKA CLF MAWDET,Saksham Centre,,,,47,No Data,No Data,No Data,2
24,Rambrai,TBEHJINGSHAI CLF MAWDOH,Saksham Centre,,,350000,25,No Data,No Data,No Data,1
25,Rambrai,WOMEN UNITED CLF RAMBRAI,Saksham Centre,5990000,,350000,79,No Data,No Data,No Data,1
26,RI-Muliang,BIRONGDIK CLF,Saksham Centre,7810000,,350000,73,No Data,No Data,No Data,1
27,RI-Muliang,IATYLLI BAN ROI CLF,Saksham Centre,5260000,,350000,64,No Data,No Data,No Data,1
28,RI-Muliang,TENGKAME CLF,Saksham Centre,7210000,,350000,69,No Data,No Data,No Data,1
29,RI-Muliang,TWAR BAN SAN CLF KYRDUM,Saksham Centre,4070000,,350000,58,No Data,No Data,No Data,2
30,Shallang,NIASON CLF UMDANG,Saksham Centre,2030000,,350000,44,No Data,No Data,No Data,1
,5-BLOCK,30-CLF,,,,,,,,,
